Uniq Id;Category;Product Title;Brand;Mrp;Price;Offers;Stock Availability
0f60591b6013963d76861a9e0666fcdd;Skin Care;Stockout NATASHA DENONA Blush Duo - COLOR: 15 Sheer Nude - champagne peach shimmer and a light terracotta cream sheen - Standard size: Satin finish - 0.5 oz/ 14 g;Stockout;22797;7599;66.67%;true
32a29985b2cb48c3406e9c3eeee82aec;Fragrance;Asli Pahadi Phool Exotic Perfume (6 ml);Hyderabad Perfumers;180;180;0 %;true
8d9df278582b7658f79cbff14a54da87;Grocery & Gourmet Foods;J-Pure Pav Bhaji Masala, 100 Grams;J-Pure;99;99;0 %;true
e083d59f4b49a9bf2a10790750852564;Grocery & Gourmet Foods;Vlasic, Home Style Sweet Relish, 9-Ounce Bottle (Pack Of 3);Vlasic;8960;8960;0 %;true
7a42d375e9c862602f0f82e1ae27f631;Grocery & Gourmet Foods;Natures Precious Gift Black Pepper Whole & Clove Whole - 500 GM Each (Spice Combo Pack);NATURE'S GIFT - FOR THOSE WHO CARE'S;2335;1235;47.11%;true
ce56756a6b3ac8f094789fca57409fe4;Skin Care;Kedus Calgon 4 Piece Lavender Vanilla Bath Gift Set;Kedus;7216;7216;0 %;true
0927284454969cb720d89403e6296c15;Bath & Shower;Suave Kids Watermelon 3 in 1 Shampoo Conditioner Body Wash 3 Oz Travel Size (Pack of 3);Suave;5578;3719;33.33%;true
f40c6cc70ad5e9fa1476684b28a9631c;Skin Care;Biotherm Biovergetures Stretch Marks Prevention and Reduction Cream Gel for Women, 5.07 Ounce;Biotherm;9846;9846;0 %;true
2f72d51e90690de2a33e2ce91c54242c;Skin Care; Kedus Okenys Aichun Beauty Armpit Body Underarm Cream Legs Knees Private Parts Whitening ;Kedus;930;930;0 %;true
d7f0ca5abde542b35b5a0dfccdfa0484;Hair Care;Norworld Organics hair wash powder A combination of Amla, Reetha,, Shikakai, Bharingraj, Brahmi, Khaskhas, Methidana, Ekanki, Usilam, Nagarmotha 75gms(pack of 8, 75gm each);Norworld Organics;400;350;12.5%;true
da3be13c908429dcabd03b8862fb7b23;Grocery & Gourmet Foods; Tulsi Green Tea (Leaf) ;Khadi India;265;265;0 %;true
93775c9260117c593e6243d14459b69b;Skin Care;Generic LANBENA Blackhead Remover Acne Skin Care Nose Mask+Chin Forehead Black Head Mask Treatment Pore Strip Black Mask Peeling 20PCS;Generic;2894;2894;0 %;true
90b76bd6f72aa085be2cc3d1c88aebfc;Skin Care; World Beautys New Natural Skin whitening soap blackhead remover acne treatment Bamboo charcoal handmade ;World Beauty;1143;942;17.59%;true
4160d9f37c5f3d45230b9f445a3a29fd;Skin Care;Stockout SEPHORA COLLECTION Colorful Eyeshadow - COLOR: 210 Sunset at the beach - Shimmer finish;Stockout;8397;2799;66.67%;true
9519864b2f0cc9d6110d6a19162f1646;Skin Care;World Beautys New 24K Gold Essence Day Cream Anti Wrinkle Face Care Anti Aging Collagen Whitening Moisturizing Hyaluronic Acid Solution;World Beauty;1173;972;17.14%;true
f1f4ca6902eccb371a489950cce4abef;Skin Care;Adrienne Vittadini AV Coffret: EDP Spray 90ml/3oz + Body Lotion 100ml/3.3oz + Shower Gel 100ml/3.3oz 3pcs;Adrienne;4219;4219;0 %;true
0253504b4ddfd5b6e8128eb8fec9cc79;Grocery & Gourmet Foods;Bogatchi Chocolate Coated Butterscotch Nuts/Crispy - 50G Free with Pack of 2 Unique Type Rakhi, Complete Rakhi Set for Bothers + Free Roli Chawal + Free Rakhi Special Brother Sister Story Cards Set;BOGATCHI;349;339;2.87%;true
7c8ff4b3fa82457792d71578df3e8a80;Bath & Shower;Abra Sleep Therapy Bath 1Lb;Abra;7040;7040;0 %;true
4c04b9100b5206a0527c66bca2ad5d15;Grocery & Gourmet Foods;Halter Blackcurrant Sugar Free Bonbons (40G) - Pack Of 2;Halter;3200;3200;0 %;true
36b9b8d887668441c4510ba49eff9a70;Grocery & Gourmet Foods;MUKESH FLOOR MILL Bajra Whole Grain Pearl Millet (500 g);MUKESH FLOOR MILL;98;98;0 %;true
de7dd9d2a9d5985b67b47620171cfd1e;Detergents & Dishwash;K K Super Detergent Powder (20KG-1KGX20);K K Super;1000;1000;0 %;true
e19db035f5707e474eae1c7e3f62cf22;Grocery & Gourmet Foods;Bogatchi Signature 99% Dark Chocolate |3In1 (Mango, Strawberry, Almonds)| Real Cocoa Intense Dark Chocolate, 80 Gm;BOGATCHI;897;897;0 %;true
02ac1837df127093eaa55cf46eea888c;Skin Care; ChapStick limited Ice edition Cream Classics Orange Cream Burst ;Chapstick;2189;2189;0 %;true
39f2356a950edb17a09132bc40d391a7;Grocery & Gourmet Foods;Karvachauth gifts online - 12 Chocolate Gift Box - Gifts for karvachauth;CHOCOCRAFT;795;795;0 %;true
94948289a777ed8232a17fcec6d56d43;Grocery & Gourmet Foods;Bogatchi Mr.PoppS Dark Chocolate Popcorn, 100% Crunchy Handcrafted Gourmet Popcorn Snacks, Best Birthday Gift for Girlfriend, 375G + Free Happy Birthday Greeting Card;BOGATCHI;539;529;1.86%;true
e14437bcbc4db70daaedf75d25888a58;Skin Care;Genuine 1 Pc Tungsten Carbide Nail Drill Bit Silver Gold Multi-Size Manicure Nail Art Tool Nail Drill Accessories Gold Type C;Genuine;1464;946;35.4%;true
4b9b290011d6f7bdcd6d2951b5c96d3b;Skin Care;Bath and Body Works A Thousand Wishes Shimmer Swirl Lotion 5 Oz;Bath & Body Works;6999;5334;23.79%;true
59f3e128a3f6a055443f91fa49db8946;Grocery & Gourmet Foods;Kamdaar Dry Fruits Papaya Stick Weight 250 Grams Munakka Weight 250 Grams;KAMDAR DRY FRUITS;900;600;33.33%;true
46e07df32e893ad7968653b0679d045b;Skin Care;Method 00034 Gel Hand Wash, Sweet Water, 12 Oz Pump Bottle;Reg;3523;3523;0 %;true
4e3d8772140f4cfc4abe3e1f0ce09f59;Skin Care;Realtree Mountain Series for Her Body Lotion, 6.8 Ounce;Realtree;2739;1639;40.16%;true
89f73352256b52267ee5f80fa74658b7;Hair Care;Earthi Amla and Reetha Purifying Hair Conditioner 100ml with free Green Tea and Fig Shampoo 50ml;Earthi;725;725;0 %;true
0fd6b80b7441a603bd0e55b4b9b5474c;Hair Care;V 76 VGN Hydrating Conditioner 8 oz;Versace;6849;4110;39.99%;true
702de536c7e3e81b30e161f72127bfc9;Grocery & Gourmet Foods;CHOCOCRAFT, womens day colorful gift, 12 Chocolate Gift Box, best chocolate gift;CHOCOCRAFT;895;795;11.17%;true
bbb1dfbc2793fd5a6880cde630a3b826;Skin Care;Ubervia Pack of 1 Body Cream Skin Care Without Retail Box RemoveEczema;Ubervia;1925;1100;42.86%;true
28991c4478e4fa36b42ea996f386b171;Hair Care;Organic Root Stimulator Fertilizing Temple Balm, 2 Ounce;Organic;4399;2938;33.21%;true
3ebba2cc81c4d0365671ceb867317467;Grocery & Gourmet Foods;QUEENS QUINOA White Whole Grain/Seeds and Organic Flour Gluten-Free Grains (Combo of 910 g);QUEENS QUINOA;1600;760;52.5%;true
8ea66cf290148e69203b90fdb719ce78;Grocery & Gourmet Foods;Chocholik 16Pc Rich Creamy Chocolate Collection with Heart Pillow Valentine Day Gifts;Chocholik;1649;1399;15.16%;true
fd85bab4a21cd1c77ee8fd8c1fad6fb7;Skin Care; Stockout Colourpop FRENCHIE PENCIL ;Stockout;7197;2399;66.67%;true
fca756b694cab7682d122850a806e18d;Skin Care; BuyChoice Six Peptide Cream Wrinkles Removal Anti-Aging Anti Lifting Firming Whitening Face Cream ;BuyChoice;1210;1210;0 %;true
b02bb2d16adee360778dcda3d8403fc8;Bath & Shower;Xplus Bath Loofah(Pack of 3);Xplus;300;300;0 %;true
e5f59d88afe0cf44f3476890e99cbb5f;Skin Care;skinChemists Age Defying DD Light Cream with SPF 30, 31 Gram;skinChemists;4541;4541;0 %;true
3aad3525aba2c412d17c861611eedf36;Grocery & Gourmet Foods;Bogatchi Happy Anniversary Personalized White Chocolate Photo Frame with Dried Cranberries for Boss, Wt.- 70G, Sz. - (12.5Cm X 7.8Cm);BOGATCHI;500;500;0 %;true
206979e8b9f6aefc4986467e9cfb71ed;Grocery & Gourmet Foods;Gift for 15th August - 12 Chocolate Gift Box - Patriotic gift;CHOCOCRAFT;795;795;0 %;true
730ada76e446018ba965564a80a7e811;Grocery & Gourmet Foods;CHOCOCRAFT - Christmas gifts for mom - 9 Chocolate Gift Box - Christmas gifts for kids;CHOCOCRAFT;695;695;0 %;true
91459f8c86803d2aafd2b37514546aad;Skin Care;Ancient flower - Rose Water & Frankincense and Lemon - Face Serum & Lip Lust Natural Lip Oil (100 ml + 10 ml + 8 ml);Ancient Flower;999;349;65.07%;true
d9b32bde729f7994e5dd62a3c9a724ea;Grocery & Gourmet Foods;CHOCOCRAFT - Thank you chocolates for sister - 9 Chocolate Gift Box - for sister;CHOCOCRAFT;695;695;0 %;true
51466452976be815ae88aa3d2727c3f8;Skin Care;Gracellon Mix Fruit Scrub (500 Gram);Gracellon;300;280;6.67%;true
af7a5000deceb9f5a9473931982b785e;Fragrance;MEENA ICE OUDH Roll-on Attar, 8 ml;MEENA;200;150;25.0%;true
b10d2b592945c260f0d2167213d72282;Skin Care;Gold Cleansing Lotion 100 ml;Tatva;129;129;0 %;true
98aceaadee16cff9a4fb9d41607c1ef0;Hair Care;Joico K-Pak Reconstruct Conditioner, 10.1-Ounce;Joico;6400;6400;0 %;true
8171b1b1eeaf05b927f0fa486c6edf45;Skin Care; Generic Jovees Lip BAlm LAvender Lip Care Moisture & Brings Shine ;Generic;100;95;5.0%;true
0f9e78a97d6dfd8e728d2330268a9036;Grocery & Gourmet Foods; Midiron Designer Rakhi Gift Set with Chocolate Bar and Printed Ceramic Mug ( Multicolor) ;Midiron;1499;749;50.03%;true
65d0b85c74fdca31097303df49adf147;Skin Care;Avon Life for Her Body Spray 150ml;AVON;499;340;31.86%;true
15a97ef395b4ca5fba70266b8e572146;Grocery & Gourmet Foods;Percy Corn Flakes Classic and Choco Vanilla Flakes, Combo Pack of 2 Jars [Duet Cereal, Chocos High Iron and Fibre Breakfast] Jar, 720 g;Percy;754;448;40.58%;true
b5aeef4f2189eab3d7f15aa92a6431f7;Grocery & Gourmet Foods;VG Food Products Health Food Mix Nuts Sprouted Grains 200 Grams (Pack of 24);VG Food Products;4100;4100;0 %;true
b26cf7ddcf56b465ea8e5a3a25162995;Grocery & Gourmet Foods;Bhavanis Organic Instant Bengal Gram Powder, 100 Gram (Pack of 1);Bhavani's;126;126;0 %;true
8dc9c068a337babe8dcb905bcc6a9619;Skin Care;AriaStarrBeauty Aria Starr Coconut Milk Body Scrub - Best 100% Natural Skin Care Exfoliator & Moisturizer - 12 OZ;AriaStarrBeauty;3682;3682;0 %;true
e1061aa239a37d6233a24f6b286cbfb7;Grocery & Gourmet Foods;Hawaii Snacks Marukawa Tattoo Fusen Strawberry Flavored Bubble Gums (60 Pieces) -8.89 Oz;Hawaii Snacks;2000;400;80.0%;true
3593c15c9520463b12d935cdb6fa6b54;Skin Care;Krins Set of 3Pc Premium Quality Reusable Printed Shower Cap with Elastic Band for Home Use/Salons/Spa/Hair Treatment/Beauty Parlours for Both Men and Women Bathing Accessory-Multi Color;Krin's;599;199;66.78%;true
0966e1309ae393479c0a165a76da96fc;Grocery & Gourmet Foods;Black Chickpea - Chana Kala 450g;ATC Premium Foods;117;105;10.26%;true
62ff655016aece636a5d03badb6f06ea;Skin Care;2 : Secret Invisible Solid Antiperspirant Deodorant, Powder, 2.6 Ounce (Pack of 2);Secret;2059;2059;0 %;true
5e41c4f68e27fc03e72656d739f60c9c;Skin Care;Generic Slimming Weight Loss Waist Trainer Body Shaper Corset Tummy Cincher Shape Wear, Size: Xl : 65Cm(W)* 25Cm(L);Generic;2816;1609;42.86%;true
29161a1ace4f7e2afc285081113d1d80;Skin Care; Ozone Ayurvedics Intenso Hydrate Cocoa Body Polishing Treatment Kit ;Ozone;2500;2500;0 %;true
